Age,Education_Level,Salary,Browser,AD_Type,Location,Page_Views,Clicks,Time_Spent_on_Page,Purchase_Intent,Ad_Interaction,Device_Type,Referral_Source,Previous_Purchases,Customer_Loyalty_Score,Email_Click_Through_Rate,Last_Ad_Interaction_Time,Average_Session_Duration,Bounce_Rate,Pages_Per_Session,Cluster
56,Master,65648,Edge,Medium,Edinburgh,84,1,212.37993922953336,0,35,Desktop,Direct,19,4.893411933612345,0.8145537870199968,413.40733239977436,504.16509085547534,0.241031737903611,3.0005643068629557,4
69,Master,29516,Safari,Small,London,27,24,196.64959143620445,1,66,Tablet,Email,12,5.529375108107329,0.5336051011223095,679.1854497264707,349.486585944507,0.49752001045344574,5.5493617746074895,0
46,Master,22396,Chrome,Medium,Manchester,41,4,261.88346559697936,1,75,Mobile,Social Media,12,6.738976415337316,0.1411660331970297,520.7759230515906,194.73298583800693,0.9445603702671478,4.550131369612453,0
32,PhD,39129,Firefox,Large,Manchester,80,4,74.00012059156526,1,41,Desktop,Direct,10,3.6645745664132727,0.02557898319516816,496.7317336734633,310.2223746407316,0.4441725847678105,7.753771164857261,0
60,High School,21591,Opera,Small,Birmingham,34,18,135.58284774682386,1,67,Mobile,Direct,10,7.3938224474810195,0.7967086675425724,697.1057215175842,420.12410709420135,0.6615645681734055,5.474827328039175,1
25,Master,31303,Chrome,Large,Liverpool,32,27,277.8223849586117,0,29,Desktop,Social Media,15,2.523986716662474,0.6001404832134268,575.3899107413139,57.2843134508193,0.6885832059788232,5.644349473462171,0
38,High School,50561,Edge,Large,London,90,43,198.33804159045982,1,18,Desktop,Social Media,14,8.487910477993125,0.7109296367478833,99.23232748800278,373.02337899378983,0.8715807252544827,12.717868772132707,2
56,PhD,91719,Opera,Small,Manchester,89,32,117.24175544561747,0,20,Mobile,Search Engine,16,6.14663496001401,0.3038071257363676,250.9496275358888,550.0591429048095,0.033821287571519254,7.0553504632662865,0
36,Bachelor,27314,Firefox,Small,London,66,33,40.29230247372527,0,14,Tablet,Email,17,6.255008410348436,0.5094827378439145,694.9361638303963,180.1790470831154,0.4043300593475422,13.866094652976988,3
40,Master,39623,Firefox,Big,Glasgow,12,28,79.48301736227673,1,34,Tablet,Email,18,2.8879787240119734,0.7471741705396504,353.0981784283605,376.3484318309709,0.7847351140860993,19.009903523777428,0
28,High School,87675,Safari,Big,Bristol,40,42,174.7834277693256,0,49,Desktop,Social Media,3,1.6669787437034942,0.46256330831379955,81.26732318593227,492.97634075979585,0.8148670149654462,13.131080415651542,2
28,High School,85082,Opera,Big,Nottingham,73,41,215.7322163205936,1,54,Tablet,Email,4,5.182523227726043,0.6013842227687309,330.7369084844138,307.5720320657358,0.9273326151740112,15.281476866997053,2
41,Master,53130,Safari,Large,Edinburgh,76,36,38.20214416871615,1,31,Desktop,Direct,6,6.540507567301231,0.7897282618079623,502.1381352969057,431.0697408782105,0.7027943598180023,15.28002789037392,4
53,Bachelor,71756,Chrome,Large,London,90,6,180.27958075317216,1,58,Tablet,Social Media,1,1.8554181279551702,0.21522064526637885,718.2371713888124,187.29519275506678,0.2451539461047435,7.283352979586909,3
57,Bachelor,46292,Opera,Big,Bristol,73,16,165.55503237278654,1,42,Mobile,Social Media,0,9.5548102707535,0.06592888935748231,233.88792260894215,184.3290133021617,0.5056657430843782,1.2842018972752745,3
41,Bachelor,89274,Chrome,Large,Glasgow,10,34,154.6726785605217,1,58,Tablet,Social Media,11,9.823729242095261,0.5318235108108051,370.6284630381978,400.88282905733786,0.03234528791889757,2.0459112968900746,3
20,PhD,22469,Safari,Large,Edinburgh,96,23,207.34681218692037,0,82,Desktop,Search Engine,9,5.9091102585324276,0.06212577072009573,633.4904266432018,423.5399155101168,0.6469283410982468,6.35914476680661,4
39,High School,73947,Opera,Small,London,98,42,251.39742892995508,1,30,Desktop,Email,7,9.550622397460655,0.7665572943667532,256.4371297832228,562.268810007774,0.5542952115087567,14.101320489494363,2
19,High School,42534,Safari,Small,Birmingham,48,24,97.57391526988364,1,25,Tablet,Search Engine,0,2.6150071382276776,0.7192114476337886,79.55905918882635,135.67830625606675,0.6668362807612931,18.22697963431756,1
41,High School,83620,Opera,Large,Bristol,20,49,266.8146448431769,0,63,Mobile,Direct,11,1.228786166615724,0.881712671465297,683.2848941260813,281.4623400566935,0.9301405533875955,19.217166981624178,2
61,PhD,68874,Safari,Big,Edinburgh,39,13,49.02945017294666,1,19,Desktop,Email,1,1.3546858176135093,0.6395620980339606,352.1889400270066,151.05757042517095,0.6872766117204315,1.4911246129613955,4
47,High School,69708,Firefox,Medium,London,60,18,52.73413705559814,1,72,Desktop,Search Engine,9,6.287612314841012,0.06719757075237376,362.50148804504767,48.975204367267,0.3204499303747612,19.81165766702265,2
55,PhD,94553,Safari,Big,Bristol,66,13,80.76484702355324,0,92,Desktop,Social Media,16,1.5547769509314118,0.2531521254896174,447.64290397040696,242.53508624054513,0.19873666387015676,7.127447148777182,0
19,Bachelor,88344,Firefox,Medium,Glasgow,65,49,36.739729994576265,0,8,Desktop,Search Engine,2,9.626910461416784,0.8079318445627193,3.542832442618492,225.07436762563376,0.8546362068186548,17.01616833646719,3
38,Master,69138,Safari,Big,London,51,37,69.8654481801804,1,95,Desktop,Social Media,6,2.2773988968345873,0.16713241731358774,670.4833152340026,162.99003786933056,0.19433214327376058,4.425613753238827,0
50,High School,74302,Opera,Small,London,36,43,32.81711710795054,0,3,Mobile,Search Engine,11,3.7425052544768076,0.6984804678148874,260.88332995289545,178.89993979251045,0.1616095805953639,2.1950668945303247,2
29,High School,67638,Opera,Large,London,24,39,246.70397267863171,1,67,Tablet,Search Engine,7,8.402660217985137,0.780259330920478,286.39400905434667,216.8866720044156,0.2066120806809758,8.188753057191063,2
39,Bachelor,98249,Opera,Large,Sheffield,27,42,42.55172857410075,0,86,Mobile,Search Engine,19,2.968662907936838,0.33011179785524114,126.18454897639594,593.313742035276,0.5088408481305068,17.319582382083166,3
61,Master,22719,Edge,Small,Birmingham,2,17,224.4419697103972,1,81,Mobile,Social Media,11,3.1867161260911354,0.3222974734029085,272.8910099572795,469.99170181440076,0.12418744315945685,5.195673401678505,1
42,PhD,42890,Chrome,Medium,Glasgow,31,15,15.326246506086788,1,17,Desktop,Search Engine,2,6.7807806021191634,0.5578026812091469,579.0353986279814,43.769319451057264,0.9381183305967022,3.9251891892850015,0
66,Master,97236,Opera,Medium,Edinburgh,57,18,284.6075779266606,1,14,Mobile,Email,16,3.484774796403361,0.8612863327547637,576.1940125674296,523.5754927155343,0.9662537072400896,18.28628225005362,4
44,Bachelor,56509,Firefox,Medium,Sheffield,78,23,213.63686617080208,0,9,Desktop,Email,8,2.957028706069303,0.22390620191348054,673.8379286038305,380.3486925128042,0.9738018532829988,18.82840684980772,3
59,Bachelor,62534,Opera,Small,Liverpool,66,30,3.0321680272474234,1,62,Mobile,Email,9,3.2875994287509176,0.9412581960424027,290.9219908574922,534.4656623130236,0.039124804819719805,1.2384157845892696,3
45,Master,38787,Edge,Medium,Sheffield,29,34,229.39309355986398,0,94,Desktop,Social Media,5,5.415827494066542,0.5991186848201082,510.57076119523214,205.6841025910067,0.9461975264800317,14.82127901089415,0
33,PhD,68845,Firefox,Small,Nottingham,15,4,154.7104943090894,1,21,Desktop,Social Media,0,9.69489885458334,0.9921264713522762,365.70380219423356,279.24680002221953,0.9974149326174252,6.874946994057206,0
32,PhD,77932,Edge,Big,Nottingham,12,3,234.03018593020082,1,76,Mobile,Email,11,8.490141474051054,0.08961372399532264,579.0923856642552,537.8400073275569,0.9424291093454871,8.119383029376603,0
64,High School,53062,Firefox,Big,London,28,7,157.22654585828596,1,37,Mobile,Email,4,3.561492381041594,0.12656213650675907,513.3177045666248,164.2713084122952,0.6709389057627061,9.912956524078307,2
68,PhD,95713,Safari,Small,Sheffield,84,18,192.66643243297105,1,96,Tablet,Email,12,4.270358876482879,0.8266418037134827,265.5222032808322,549.3850248710038,0.7012301524085008,9.10902843331587,0
61,Master,80461,Chrome,Large,Liverpool,24,42,236.1131649631171,1,11,Tablet,Direct,14,5.180610254536696,0.8647558956038492,243.06848682840487,497.2713275744172,0.12225293987344765,10.78450191466,0
69,Bachelor,95418,Chrome,Big,Sheffield,21,7,122.12730832176915,0,20,Tablet,Email,10,9.810366823152913,0.44545868837093394,182.5061309171087,588.3542066046667,0.8742970770749625,12.064872599060308,3
20,High School,86672,Edge,Medium,Birmingham,10,40,1.8097367963151743,0,35,Mobile,Search Engine,7,2.551514215021441,0.714071176142335,415.51485336133055,195.2302946228015,0.0596395846287715,9.84631459192056,1
54,High School,54832,Chrome,Small,Birmingham,78,6,255.13400228761134,0,53,Mobile,Direct,4,4.2173479314269455,0.8675572874455385,694.003010295985,142.21615482286526,0.3177305466176398,14.329707269300833,1
68,Bachelor,51966,Edge,Medium,Liverpool,18,22,114.88621842477411,1,47,Desktop,Direct,1,7.564834845844435,0.04312778821882868,144.84798434702995,199.18927133039116,0.991151645148187,14.653431594000699,3
24,PhD,92545,Edge,Medium,Sheffield,88,1,149.31677507895833,1,75,Tablet,Social Media,11,9.67549360842049,0.5739504229932586,69.48651507620983,572.8352277972524,0.4223278791029953,9.366824751097708,0
38,Bachelor,32987,Edge,Large,Bristol,14,4,3.3222260040366463,0,52,Desktop,Search Engine,1,2.4010769148781392,0.8534806665264896,86.8490616528695,200.51090433571198,0.13115622396525872,3.706799813655063,3
26,PhD,57311,Chrome,Medium,Birmingham,34,46,148.1355110946793,1,8,Desktop,Social Media,15,3.046419587749112,0.39815494458477496,564.0479482238578,339.5618801543856,0.9692946620490801,13.172139505082331,1
56,Bachelor,51575,Edge,Large,Birmingham,58,49,295.9597330699471,1,4,Desktop,Social Media,2,3.0312520695138723,0.3023836061124269,252.7253542806013,242.803890269322,0.9841396470417361,15.68617753466347,1
35,Master,83852,Chrome,Big,Manchester,76,43,84.20203058481212,1,27,Desktop,Search Engine,9,1.1883882654286615,0.7957066850948376,162.319749110821,238.33586654458676,0.18704268523871437,13.124080902875045,0
21,PhD,21007,Edge,Small,Sheffield,22,29,119.23006280247104,0,44,Tablet,Social Media,18,6.437040624828546,0.3357865835028362,254.69492111054655,116.83378731755407,0.8648038087401708,12.173040551089496,0
42,Master,90981,Opera,Medium,Birmingham,70,21,206.46980894413431,0,40,Desktop,Search Engine,7,7.036327667313044,0.0031742981845032103,464.9928544244261,322.7106449377564,0.39042332619389175,5.35882783345752,1
31,High School,96242,Edge,Small,Glasgow,36,26,244.62330658957393,0,47,Mobile,Search Engine,6,6.4227330111272805,0.9595725876290657,394.139942751536,509.7931487253569,0.38136846448671446,13.257603775565908,2
67,Bachelor,67517,Firefox,Medium,Sheffield,45,14,125.800095577824,0,94,Mobile,Social Media,0,1.641906904715329,0.5921232363510185,535.6407832887614,30.64152311876861,0.26269763189690165,7.362268076948027,3
26,High School,49257,Edge,Small,Nottingham,36,9,93.59099224998647,0,44,Mobile,Email,11,1.6230711317106854,0.8195179187100712,244.79431275839715,533.6467296043895,0.04471027455489651,18.471618393452417,2
43,High School,62207,Safari,Medium,Manchester,22,47,281.40991419553507,1,48,Tablet,Social Media,4,2.8934789904471163,0.8253015623427146,326.0085443211088,399.6183061172424,0.2680089836852235,13.420681762439635,2
19,High School,33281,Edge,Medium,Birmingham,78,12,203.4663450348291,1,91,Desktop,Direct,15,3.6126506412902315,0.06641042037273281,74.315257284342,370.4261102643668,0.053776905333052016,6.285413857457751,1
37,High School,81246,Firefox,Medium,Manchester,80,42,36.587370043449184,1,85,Tablet,Social Media,3,8.078892903190425,0.1708601993864648,53.52916649756986,375.91423952147136,0.9243720463599634,9.985611277914671,2
45,Bachelor,21435,Firefox,Medium,Nottingham,61,6,21.60943556225994,1,52,Desktop,Search Engine,16,2.43451239174029,0.3111206807596474,333.3615196049082,178.46563173672718,0.6617206723927285,17.085044241815844,3
64,High School,46660,Chrome,Medium,Liverpool,56,20,145.58140538632034,0,84,Tablet,Direct,1,1.3968299475777892,0.32069928504132283,217.84796075361902,249.67155781710434,0.8866226500163915,7.373815072470302,2
24,Bachelor,25084,Opera,Medium,Liverpool,89,24,66.80692974813446,0,68,Tablet,Search Engine,11,4.545887569417497,0.6587861176809129,441.60361136587807,479.7747135366246,0.7172906814705706,10.983370832895242,3
61,Bachelor,33507,Edge,Medium,Sheffield,96,27,76.9414412594998,1,11,Desktop,Email,0,4.747529531277283,0.6231329207526848,31.918556954647208,184.52224112483748,0.13128687108263926,13.913729491778929,3
25,Master,92595,Chrome,Medium,Nottingham,33,38,263.42996146952663,0,77,Tablet,Email,11,5.058166043700588,0.49458977800981374,88.55002549408755,282.54210553404533,0.9405815367352979,15.336057437708092,0
64,PhD,65539,Opera,Medium,Leeds,45,8,27.78024127057689,1,73,Desktop,Direct,11,8.442131896242717,0.21126373230876794,623.0721931854981,12.759730561204346,0.8998930536327671,4.303951326230152,0
52,PhD,27491,Edge,Small,Leeds,36,1,214.893870453438,1,4,Mobile,Email,11,1.8820487338384755,0.3819834696903034,408.17805587223614,440.40145340836847,0.3480760779010357,11.737893788868492,0
31,Bachelor,70192,Safari,Large,Sheffield,20,49,82.07153376079583,1,76,Mobile,Email,18,7.335478741797659,0.5435939684651695,512.9672097239923,251.20360383048478,0.1115333403516765,18.331798109427826,3
34,Master,83888,Edge,Medium,London,18,49,228.33813819983718,1,73,Mobile,Social Media,16,4.041510139407617,0.4679853661039419,606.3779533505456,315.68990231568864,0.7041547507888738,19.398835848684186,0
53,Bachelor,93609,Firefox,Large,Manchester,38,24,217.00100395459984,0,77,Tablet,Social Media,19,3.7898212279192296,0.12729253309507838,334.49689258108754,69.69890136864443,0.7283613027367225,13.466755808627806,3
67,Bachelor,29077,Firefox,Medium,Manchester,67,47,3.2101785318436145,1,48,Mobile,Email,10,9.39288813477382,0.6495104935019238,548.2024160726153,595.0368230436746,0.8968290448407071,19.689555279039727,3
57,Bachelor,40953,Safari,Medium,Liverpool,23,7,153.23148846355815,0,26,Desktop,Email,12,3.2362167197506784,0.07305177681066055,378.177031353864,182.17822836392273,0.05265575945107992,11.843969730546675,3
21,Master,96919,Chrome,Small,Leeds,96,19,42.656525231035864,1,77,Mobile,Social Media,7,6.782786518054297,0.3781946830810803,161.1563658267931,381.35880729627377,0.14170383802737185,9.409495565837732,0
19,PhD,87889,Opera,Big,Edinburgh,16,22,260.0018821430244,1,39,Mobile,Email,9,3.4761498163848286,0.7100293476752291,243.77478536787552,349.1605705678248,0.5982487928791823,11.480161720016673,4
23,Master,43821,Edge,Big,Birmingham,59,35,261.60417897585955,1,92,Tablet,Email,7,5.564294943763466,0.02002353451970651,353.56196711902015,471.2702301510692,0.6191315508700825,3.1985354910069197,1
59,High School,57567,Firefox,Small,Birmingham,69,30,126.08539644063366,1,58,Desktop,Search Engine,19,8.076636033366501,0.5699828190453161,228.84071201186268,177.00833641755437,0.03360966231500628,8.632602474022367,1
21,Master,44860,Chrome,Large,Birmingham,68,29,133.8742899168731,0,19,Tablet,Email,7,8.935502711646345,0.3345209741432973,242.24441008057693,453.8004796533451,0.3969320510616584,9.709696007580046,1
46,Master,41195,Safari,Big,Liverpool,21,22,91.6815988819536,1,88,Tablet,Direct,8,8.548275162655454,0.008831843422734464,243.58544566786304,230.11853668075486,0.5841617312760491,17.123928175698584,0
35,Master,97475,Firefox,Small,Nottingham,78,11,215.26528338904927,0,83,Desktop,Search Engine,6,6.239626625301758,0.19038327106097186,89.3219447982579,247.2854185419631,0.7379113331517339,15.414323262106498,0
43,Master,41427,Safari,Small,Bristol,95,20,108.23974754491128,1,77,Tablet,Direct,13,3.239346838043999,0.9409461932706544,61.85803458560873,403.95480336557534,0.31615069177832855,12.427105119271214,0
61,PhD,47083,Edge,Big,Leeds,78,29,81.0699498822675,1,77,Desktop,Email,1,6.951100449356792,0.5211489055050904,34.430652538047816,470.7871772725408,0.48390349302184144,7.598267462649129,0
51,High School,77372,Opera,Large,Leeds,70,41,130.23708679184796,1,58,Mobile,Social Media,10,7.389145412016472,0.9972272046291317,80.77755168368813,400.4531150362149,0.8140548723120092,4.553657128160484,2
27,PhD,64064,Firefox,Small,Edinburgh,12,42,28.354767997850157,0,28,Desktop,Search Engine,7,1.0962279110215127,0.5248167503647412,248.12539924550936,540.0278328221201,0.9538950638977405,7.60753539737793,4
53,PhD,27813,Firefox,Medium,Manchester,16,34,224.23435818861694,1,66,Desktop,Social Media,12,4.952894598386871,0.5439364122902682,427.99382835801805,171.81025867653034,0.2303146753898455,13.916277348223506,0
31,Master,51598,Edge,Large,London,81,1,4.766323980264302,1,10,Desktop,Search Engine,14,8.58935838539588,0.3918430129328524,136.27764066356505,540.4694225290676,0.2530422058198962,5.997718182615629,0
48,Bachelor,47082,Chrome,Large,Sheffield,87,31,193.70103339465757,1,86,Tablet,Social Media,2,5.406288366187426,0.3100404187314143,639.4783602758966,79.38725204008384,0.9398181874338755,9.110847218474152,3
65,Bachelor,49241,Opera,Big,Manchester,14,30,55.67649349970685,1,77,Desktop,Search Engine,13,3.80237897946989,0.2515455531329448,582.2269680611641,396.0586610989584,0.3959111507626836,8.34863446275196,3
32,PhD,64569,Firefox,Big,Nottingham,61,48,70.48880981810953,1,58,Desktop,Search Engine,14,8.846179939221965,0.3434206161306739,375.25899410978866,329.03076017672635,0.7183483245207427,15.546211212030144,0
25,PhD,31745,Opera,Medium,Sheffield,71,18,191.05396759337194,0,73,Desktop,Direct,1,2.4029262777682514,0.45985108090043214,521.7068683548058,297.28692830893806,0.6122652287298762,17.791954182942742,0
31,Master,46029,Firefox,Small,Leeds,46,17,297.8900962690892,0,97,Mobile,Social Media,18,2.8580070917458036,0.19199195023079008,264.3902092584073,187.23630528844478,0.2855876797940563,14.288048179408563,0
40,PhD,33025,Opera,Big,Nottingham,32,38,233.53752923269266,1,14,Desktop,Direct,11,7.1863513024252,0.22487509180569587,27.443232975091636,302.73591443963227,0.6535622219580249,7.490442957727649,0
57,Master,34288,Safari,Big,Sheffield,15,14,68.52605003479421,1,84,Tablet,Direct,19,4.171923473739175,0.27154476866843913,651.2153173758961,97.90224047443725,0.6555659009569733,9.230363930541857,0
38,Bachelor,26540,Firefox,Large,Edinburgh,44,23,53.631401757299,0,15,Desktop,Social Media,3,7.41715152160401,0.44925989193083915,92.88351805737402,222.22324558279368,0.5924431854090763,3.723652927020707,4
33,Bachelor,88878,Opera,Big,Edinburgh,17,25,260.00362821003347,1,96,Desktop,Search Engine,2,2.419332591335427,0.6528133668142431,682.5669520469694,60.10986957284257,0.09966082484951289,4.1938515075655864,4
62,High School,61846,Chrome,Big,Glasgow,41,15,133.81100042852978,0,33,Mobile,Direct,4,3.2704218064076134,0.8561461502862873,412.1835809633331,343.5361132720054,0.9951718223740377,4.121558783003785,2
35,Bachelor,95932,Safari,Big,Bristol,54,46,41.97878804561849,1,17,Desktop,Social Media,2,2.4098264052727014,0.2871318371871433,220.69984087440812,58.364963833576546,0.4004164611708274,3.4811407936648937,3
64,PhD,37482,Safari,Big,Edinburgh,44,22,258.8012155732595,1,24,Tablet,Search Engine,14,9.576192822071587,0.18372834034143737,357.2822041612163,97.04644169919423,0.6382509853969889,4.412043341673473,4
41,Bachelor,43411,Chrome,Large,Leeds,98,3,245.01161352136415,0,30,Desktop,Direct,18,4.648635647658317,0.378847464850555,361.6718326157047,52.194614091001306,0.8857616941126193,4.851075848988795,3
43,Master,70975,Opera,Medium,London,5,19,295.1880028052519,1,62,Tablet,Direct,1,4.034979189192034,0.8943830763718558,17.74341011921639,229.4050733312947,0.42328848841983635,3.1250729321550255,0
42,Bachelor,80545,Edge,Medium,Birmingham,27,44,273.01336232709247,0,13,Mobile,Direct,11,1.1278194055368824,0.009860728337139468,256.5756335046957,505.33311419659077,0.7739250568055486,13.164953715800314,1
62,High School,98797,Chrome,Small,Glasgow,87,34,255.68531125950196,0,62,Desktop,Search Engine,4,2.3807582146979867,0.6778686160577454,532.9635098713576,544.2309385886629,0.971824424679406,19.81762915706179,2
